years,scenario,pop_size,lcl,ucl
2023,A1,250,250,250
2024,A1,252.8777524,240.6553278,265.9431031
2025,A1,253.4960653,259.8334669,270.9872938
2026,A1,251.758582,241.6882388,285.9977492
2027,A1,251.4087765,232.7207242,306.132087
2028,A1,247.7485348,208.769432,288.0489632
2029,A1,246.9674865,222.1884154,280.4727422
2030,A1,248.5727305,214.1868362,296.7129827
2031,A1,249.3198717,216.4096486,306.1648025
2032,A1,249.620763,196.2851265,329.0833725
2033,A1,251.6820141,194.717985,324.5859043
2034,A1,248.1759426,165.4506284,338.1810845
2035,A1,241.8862872,149.1632105,332.9967888
2036,A1,245.6042147,161.1982329,331.1563494
2037,A1,237.9894695,156.9143902,324.4589767
2038,A1,246.7683227,155.299531,344.8176028
2039,A1,243.9159009,163.3423484,326.2781702
2040,A1,247.9182018,158.0065339,336.5076392
2041,A1,245.3231334,151.6914707,337.1557596
2042,A1,243.1636609,126.7693218,362.1517455
2043,A1,239.844816,116.0848909,365.5234995
2044,A1,236.2886549,117.6717502,353.9604051
2045,A1,237.6325569,132.2029124,336.5669114
2046,A1,233.0226104,137.1726434,325.4549126
2047,A1,229.4786952,130.3438989,321.2701732
2048,A1,230.9294413,133.1693112,323.4551709
2049,A1,231.2048531,122.769777,330.8541448
2050,A1,230.0776535,112.2012024,324.7929542
2051,A1,225.2100521,115.2324767,325.1282453
2052,A1,224.542479,95.65509606,338.1609734
2053,A1,216.1515163,82.42577816,331.432325
2023,A2,248.4917935,248.4917935,248.4917935
2024,A2,250.5599027,242.4584659,261.5010185
2025,A2,261.7154049,251.5957425,272.5329748
2026,A2,264.6664886,221.614073,257.6087155
2027,A2,268.6442045,222.8851417,264.7936376
2028,A2,274.4236777,224.5700428,267.3801366
2029,A2,279.5670508,231.3883291,283.9469347
2030,A2,282.1122869,236.786246,279.6673136
2031,A2,283.2712028,230.1106403,292.4303049
2032,A2,289.5835116,235.6244507,352.6161894
2033,A2,295.664818,232.2939921,373.0304455
2034,A2,301.9446677,225.7539633,393.6351985
2035,A2,311.0702147,234.4432519,409.886853
2036,A2,305.9569146,243.0317757,376.4289904
2037,A2,311.902756,236.0064188,390.7101858
2038,A2,305.4098566,244.0224754,382.0677306
2039,A2,304.8070071,237.2414538,382.3295892
2040,A2,313.3021512,257.7432365,378.0512625
2041,A2,305.835611,247.82879,371.3863768
2042,A2,301.3333406,209.5271161,383.0951203
2043,A2,297.8323501,188.9249873,411.7035852
2044,A2,293.2819447,192.9795196,397.1037531
2045,A2,293.2846266,174.1133067,407.5678695
2046,A2,288.5998561,170.9473147,393.7464036
2047,A2,275.8565234,160.9163052,379.3946718
2048,A2,280.5211545,165.8815093,381.321756
2049,A2,268.2783362,154.6177477,374.6059834
2050,A2,269.6162568,148.109197,385.3715029
2051,A2,267.8853644,147.2476554,377.6290688
2052,A2,267.9933285,130.602082,394.3075173
2053,A2,270.6820843,120.1828454,419.0158665
2023,A3,254.1811272,254.1811272,254.1811272
2024,A3,258.7475007,256.9362682,260.0412382
2025,A3,255.3775815,239.1185421,272.8283828
2026,A3,272.3127341,231.5565948,326.3214262
2027,A3,281.7268584,232.8942031,347.8387613
2028,A3,299.2911858,245.3190087,366.2326478
2029,A3,305.2386635,249.7869729,368.2195743
2030,A3,315.7721836,261.6698829,375.347869
2031,A3,319.9568193,260.8714599,381.1752239
2032,A3,319.0333253,282.7698706,360.6140019
2033,A3,323.4602276,280.6556576,354.4045895
2034,A3,318.8679167,273.6949617,361.7025067
2035,A3,323.8908408,248.5322384,380.6797014
2036,A3,323.1469678,240.3136285,394.1315852
2037,A3,317.5940677,216.7050187,403.4503305
2038,A3,318.1926182,214.8860814,410.8927342
2039,A3,316.3439743,190.8608644,426.2207813
2040,A3,322.9746665,205.9501791,419.113459
2041,A3,314.2188391,208.4318298,414.5593883
2042,A3,318.5156517,196.3118132,434.5615207
2043,A3,321.1146025,161.0924924,408.9929655
2044,A3,312.2646017,165.1879743,378.7769619
2045,A3,316.3886615,152.1829462,401.4972115
2046,A3,310.945782,131.4264173,407.5462717
2047,A3,307.680237,150.7633161,396.9075057
2048,A3,303.522136,145.9941474,399.7386531
2049,A3,290.5744714,146.062101,387.8200612
2050,A3,288.8549695,134.6064158,398.042148
2051,A3,287.1369765,118.6832835,417.3057391
2052,A3,289.5327107,116.102617,429.9560753
2053,A3,280.0489282,116.4070046,417.7396513
2023,A4,254.7295949,254.7295949,254.7295949
2024,A4,253.2289928,246.7294486,261.9231881
2025,A4,254.8934765,242.0638383,265.5140381
2026,A4,254.1813535,245.7086418,261.9762484
2027,A4,247.5036876,231.6634516,259.3838646
2028,A4,246.9719968,238.986569,253.8048888
2029,A4,239.5887878,226.2516785,257.8773985
2030,A4,233.7196218,224.6045565,242.3672478
2031,A4,219.9905292,197.1848442,245.5827606
2032,A4,214.0132492,193.4679773,231.1343091
2033,A4,216.0173341,211.6969874,222.0658194
2034,A4,221.9461345,214.3999659,228.6045185
2035,A4,229.2258649,217.6881631,238.7769427
2036,A4,217.2653311,202.7085539,229.6494549
2037,A4,216.7029792,194.0214007,239.0956204
2038,A4,217.70551,201.0873228,236.7910264
2039,A4,217.2917071,182.5974645,254.7383112
2040,A4,218.0425759,181.6294657,262.7413039
2041,A4,220.5706326,178.7357359,276.6690968
2042,A4,219.1889256,171.0404249,284.1419105
2043,A4,218.7694542,156.055544,301.3184616
2044,A4,219.1058055,149.5762299,314.3437956
2045,A4,215.4062872,161.4829134,270.9093073
2046,A4,213.5129598,162.0563365,267.1047128
2047,A4,213.5664074,146.5777442,280.697448
2048,A4,214.7260905,146.9442212,280.0743973
2049,A4,210.4609444,121.3658114,298.1530047
2050,A4,213.150348,118.5115935,307.7891025
2051,A4,206.1582239,95.58869653,314.1164138
2052,A4,204.7781644,113.9931783,289.283287
2053,A4,208.0016802,111.6969022,303.8904547
