"years","values","pop_size","num_clutches"
"199",2034,"med values",146,20
"200",2035,"med values",153,20
"201",2036,"med values",147,20
"202",2037,"med values",157,20
"203",2038,"med values",151,20
"204",2039,"med values",139,20
"205",2040,"med values",152,20
"206",2041,"med values",161,20
"207",2042,"med values",168,20
"208",2043,"med values",161,20
"209",2044,"med values",147,20
"210",2045,"med values",146,20
"211",2046,"med values",153,20
"212",2047,"med values",146,20
"213",2048,"med values",143,20
"214",2049,"med values",138,20
"215",2050,"med values",127,20
"216",2051,"med values",125,20
"217",2052,"med values",118,20
"218",2022,"med values",114,25
"219",2023,"med values",116,25
"220",2024,"med values",114,25
"221",2025,"med values",96,25
"222",2026,"med values",114,25
"223",2027,"med values",116,25
"224",2028,"med values",116,25
"225",2029,"med values",128,25
"226",2030,"med values",136,25
"227",2031,"med values",135,25
"228",2032,"med values",126,25
"229",2033,"med values",143,25
"230",2034,"med values",136,25
"231",2035,"med values",130,25
"232",2036,"med values",118,25
"233",2037,"med values",135,25
"234",2038,"med values",115,25
"235",2039,"med values",107,25
"236",2040,"med values",106,25
"237",2041,"med values",106,25
"238",2042,"med values",92,25
"239",2043,"med values",82,25
"240",2044,"med values",86,25
"241",2045,"med values",84,25
"242",2046,"med values",74,25
"243",2047,"med values",67,25
"244",2048,"med values",64,25
"245",2049,"med values",61,25
"246",2050,"med values",57,25
"247",2051,"med values",60,25
"248",2052,"med values",54,25
"249",2022,"high values",114,10
"250",2023,"high values",119,10
"251",2024,"high values",100,10
"252",2025,"high values",104,10
"253",2026,"high values",113,10
"254",2027,"high values",100,10
"255",2028,"high values",108,10
"256",2029,"high values",131,10
"257",2030,"high values",139,10
"258",2031,"high values",126,10
"259",2032,"high values",112,10
"260",2033,"high values",121,10
"261",2034,"high values",119,10
"262",2035,"high values",113,10
"263",2036,"high values",108,10
"264",2037,"high values",97,10
"265",2038,"high values",99,10
"266",2039,"high values",104,10
"267",2040,"high values",97,10
"268",2041,"high values",100,10
"269",2042,"high values",105,10
"270",2043,"high values",104,10
"271",2044,"high values",113,10
"272",2045,"high values",127,10
"273",2046,"high values",137,10
"274",2047,"high values",130,10
"275",2048,"high values",131,10
"276",2049,"high values",130,10
"277",2050,"high values",123,10
"278",2051,"high values",144,10
"279",2052,"high values",138,10
"280",2022,"high values",114,15
"281",2023,"high values",125,15
"282",2024,"high values",120,15
"283",2025,"high values",128,15
"284",2026,"high values",122,15
"285",2027,"high values",123,15
"286",2028,"high values",108,15
"287",2029,"high values",120,15
"288",2030,"high values",116,15
"289",2031,"high values",128,15
"290",2032,"high values",132,15
"291",2033,"high values",146,15
"292",2034,"high values",138,15
"293",2035,"high values",138,15
"294",2036,"high values",115,15
"295",2037,"high values",107,15
"296",2038,"high values",114,15
"297",2039,"high values",107,15
"298",2040,"high values",96,15
"299",2041,"high values",94,15
"300",2042,"high values",84,15
"301",2043,"high values",91,15
"302",2044,"high values",93,15
"303",2045,"high values",98,15
"304",2046,"high values",102,15
"305",2047,"high values",114,15
"306",2048,"high values",113,15
"307",2049,"high values",120,15
"308",2050,"high values",119,15
"309",2051,"high values",123,15
"310",2052,"high values",122,15
"311",2022,"high values",114,20
"312",2023,"high values",110,20
"313",2024,"high values",121,20
"314",2025,"high values",119,20
"315",2026,"high values",125,20
"316",2027,"high values",129,20
"317",2028,"high values",131,20
"318",2029,"high values",151,20
"319",2030,"high values",157,20
"320",2031,"high values",197,20
"321",2032,"high values",168,20
"322",2033,"high values",164,20
"323",2034,"high values",130,20
"324",2035,"high values",137,20
"325",2036,"high values",110,20
"326",2037,"high values",109,20
"327",2038,"high values",119,20
"328",2039,"high values",113,20
"329",2040,"high values",116,20
"330",2041,"high values",133,20
"331",2042,"high values",130,20
"332",2043,"high values",117,20
"333",2044,"high values",106,20
"334",2045,"high values",104,20
"335",2046,"high values",108,20
"336",2047,"high values",110,20
"337",2048,"high values",118,20
"338",2049,"high values",121,20
"339",2050,"high values",137,20
