"years","V2","V3","V4"
2023,2,2,2
2024,2,2,2
2025,2,2,2
2026,2,2,2
2027,2,2,2
2028,1,1,2
2029,1,1,2
2030,1,1,2
2031,0,1,2
2032,0,1,2
2033,0,1,1
2034,0,0,1
2035,0,0,1
2036,0,0,1
2037,0,0,0
2038,0,0,0
2039,0,0,0
2040,0,0,0
2041,0,0,0
2042,0,0,0
2043,0,0,0
2044,0,0,0
2045,0,0,0
2046,0,0,0
2047,0,0,0
2048,0,0,0
2049,0,0,0
2050,0,0,0
2051,0,0,0
2052,0,0,0
2053,0,0,0
