"years","V2","V3","V4"
2023,16,16,16
2024,15,16,16
2025,13,18,18
2026,13,17,18
2027,11,18,18
2028,12,18,18
2029,12,14,18
2030,11,15,16
2031,10,13,15
2032,10,14,17
2033,10,13,17
2034,10,16,18
2035,10,14,18
2036,9,12,17
2037,9,10,17
2038,10,8,16
2039,8,7,15
2040,7,7,13
2041,6,6,14
2042,6,6,16
2043,6,6,15
2044,4,5,14
2045,4,4,13
2046,4,4,14
2047,3,3,13
2048,2,3,12
2049,2,3,12
2050,2,3,9
2051,1,2,11
2052,0,1,10
2053,0,1,8
