"years","V2","V3","V4"
2023,74,74,74
2024,74,75,75
2025,80,77,77
2026,82,78,74
2027,92,84,86
2028,99,90,97
2029,91,90,90
2030,80,116,115
2031,83,124,120
2032,93,133,151
2033,88,126,162
2034,84,138,156
2035,72,130,151
2036,81,136,165
2037,86,137,164
2038,91,155,153
2039,95,154,145
2040,78,140,151
2041,58,139,161
2042,60,138,163
2043,63,139,157
2044,66,152,157
2045,71,162,166
2046,60,177,176
2047,62,177,164
2048,64,188,174
2049,66,185,166
2050,57,196,156
2051,51,205,178
2052,55,197,191
2053,52,180,166
