"initial.pop","S.ad","S.jw","S.jhs","S.imm","S.sub","Prod.Rates","philopatry","site.fidelity","number.HS.birds","years.HS"
110,0.78,0.2,0.2,0.4,0.78,0.14,0.5,0.95,80,5
110,0.84,0.3,0.3,0.55,0.84,0.32,0.5,0.95,80,5
110,0.9,0.4,0.4,0.7,0.9,0.5,0.5,0.95,80,5
