"years","ROI_B4_mean","ROI_B4_LCL","ROI_B4_UCL"
2023,110,110,110
2024,104.666666666667,102.1,108.1
2025,107.833333333333,102.8,112
2026,106.333333333333,103,109.4
2027,117.5,111.1,122.3
2028,117.833333333333,114.6,120.6
2029,121.666666666667,116.1,129.3
2030,119.5,115.6,123.2
2031,122.166666666667,111.8,133.8
2032,121.5,111.9,129.5
2033,124.5,122.5,127.3
2034,124,120.6,127
2035,116.833333333333,111.8,121
2036,115,108.3,120.7
2037,113.166666666667,102.7,123.5
2038,119.833333333333,112.2,128.6
2039,117.166666666667,101.2,134.4
2040,111.5,94.8,132
2041,112.666666666667,93.7,138.1
2042,112.666666666667,90.7,142.3
2043,109.666666666667,81,147.4
2044,109.833333333333,78.1,153.3
2045,95.3333333333333,70.3,121.1
2046,95.5,71.4,120.6
2047,94.6666666666667,63.3,126.1
2048,100.666666666667,69.1,131.1
2049,103.833333333333,61.5,145.5
2050,107.5,63.1,151.9
2051,125.333333333333,71.7,177.7
2052,123.333333333333,79,164.6
2053,124,77.7,170.1
