"years","scenario","pop_size"
2023,"base",20
2024,"base",19.1666666666667
2025,"base",19.8333333333333
2026,"base",19.1666666666667
2027,"base",19.8333333333333
2028,"base",18
2029,"base",19.1666666666667
2030,"base",17.8333333333333
2031,"base",17.1666666666667
2032,"base",17.5
2033,"base",19.5
2034,"base",19.6666666666667
2035,"base",18.6666666666667
2036,"base",19.3333333333333
2037,"base",21.3333333333333
2038,"base",22.6666666666667
2039,"base",22
2040,"base",21.8333333333333
2041,"base",22.1666666666667
2042,"base",22.3333333333333
2043,"base",21.6666666666667
2044,"base",21.3333333333333
2045,"base",20.6666666666667
2046,"base",21.6666666666667
2047,"base",21.3333333333333
2048,"base",22.6666666666667
2049,"base",22.1666666666667
2050,"base",20
2051,"base",20.1666666666667
2052,"base",20.5
2053,"base",20.8333333333333
2023,"removed",20
2024,"removed",19.6666666666667
2025,"removed",20.3333333333333
2026,"removed",20.3333333333333
2027,"removed",18
2028,"removed",17.6666666666667
2029,"removed",16.8333333333333
2030,"removed",16.1666666666667
2031,"removed",15.6666666666667
2032,"removed",14.3333333333333
2033,"removed",14.5
2034,"removed",15.6666666666667
2035,"removed",15.6666666666667
2036,"removed",16.3333333333333
2037,"removed",17.5
2038,"removed",18.3333333333333
2039,"removed",19.3333333333333
2040,"removed",20.5
2041,"removed",20.3333333333333
2042,"removed",18.5
2043,"removed",17.3333333333333
2044,"removed",18.1666666666667
2045,"removed",16.6666666666667
2046,"removed",15.1666666666667
2047,"removed",14.6666666666667
2048,"removed",16.1666666666667
2049,"removed",17.5
2050,"removed",17.6666666666667
2051,"removed",17.1666666666667
2052,"removed",18.6666666666667
2053,"removed",17.8333333333333
