"years","V2","V3","V4"
2023,30,30,30
2024,26,29,28
2025,24,33,32
2026,21,32,28
2027,18,33,28
2028,18,40,30
2029,23,36,31
2030,22,40,26
2031,24,38,32
2032,26,35,35
2033,28,30,39
2034,28,29,42
2035,27,27,44
2036,28,24,50
2037,28,24,50
2038,26,25,51
2039,24,22,52
2040,24,25,52
2041,24,25,55
2042,26,21,54
2043,27,21,50
2044,26,21,54
2045,24,23,50
2046,25,24,50
2047,25,24,47
2048,26,24,51
2049,27,21,55
2050,28,19,60
2051,27,17,56
2052,27,13,51
2053,26,13,46
