"years","ROI_B1_mean","ROI_B1_LCL","ROI_B1_UCL"
2023,110,110,110
2024,111.333333333333,106.5,116.5
2025,114,111.5,115.9
2026,119.5,110.5,128.1
2027,122.333333333333,108.9,138.1
2028,114.333333333333,98.6,130.6
2029,118.833333333333,108.8,132.4
2030,119.333333333333,105.5,138.7
2031,124.5,108.3,144.3
2032,123.666666666667,99.3,152.5
2033,121.333333333333,98.7,150.3
2034,120.333333333333,87,156.6
2035,125.333333333333,87,163
2036,122.666666666667,88.3,157.5
2037,125.666666666667,91.6,162
2038,129.166666666667,92.1,168.9
2039,124.833333333333,91.8,158.6
2040,119.166666666667,82.9,154.9
2041,121.666666666667,83.5,159.1
2042,124.666666666667,76.8,173.6
2043,126.5,74.9,178.9
2044,135.5,85.3,185.3
2045,139.666666666667,95.3,181.3
2046,140.833333333333,99.7,180.5
2047,134,90.8,174
2048,136.833333333333,94.5,176.9
2049,147.5,100.6,190.6
2050,150.333333333333,99.1,191.5
2051,148.833333333333,100,193.2
2052,153.5,96.1,204.1
2053,151.166666666667,89.3,204.5
