"years","V2","V3","V4"
2023,40,40,40
2024,39,38,38
2025,40,42,37
2026,37,41,37
2027,36,41,42
2028,32,40,36
2029,37,39,39
2030,33,36,38
2031,29,39,35
2032,30,38,37
2033,35,42,40
2034,34,40,44
2035,31,38,43
2036,32,36,48
2037,36,41,51
2038,32,49,55
2039,29,51,52
2040,30,50,51
2041,31,46,56
2042,30,51,53
2043,30,46,54
2044,29,49,50
2045,32,47,45
2046,32,49,49
2047,30,48,50
2048,26,53,57
2049,27,52,54
2050,20,52,48
2051,19,52,50
2052,18,53,52
2053,21,53,51
