"years","V2","V3","V4"
2023,74,74,74
2024,76,71,72
2025,77,66,78
2026,87,68,84
2027,78,69,74
2028,68,68,69
2029,71,67,64
2030,60,64,68
2031,59,64,70
2032,63,64,64
2033,62,66,66
2034,53,65,61
2035,53,60,55
2036,56,64,54
2037,51,63,51
2038,50,67,59
2039,45,62,53
2040,43,60,67
2041,40,66,67
2042,41,74,66
2043,50,83,74
2044,50,75,79
2045,56,60,91
2046,54,65,83
2047,50,66,83
2048,45,58,81
2049,46,62,84
2050,45,62,86
2051,41,59,93
2052,38,53,104
2053,37,45,104
