"years","V2","V3","V4"
2023,30,30,30
2024,28,27,29
2025,30,31,31
2026,26,30,30
2027,22,29,33
2028,25,32,36
2029,25,32,35
2030,28,32,34
2031,27,35,39
2032,23,39,41
2033,21,35,47
2034,18,34,47
2035,18,31,50
2036,18,29,50
2037,18,33,57
2038,19,35,52
2039,17,35,50
2040,17,36,52
2041,18,40,58
2042,15,39,57
2043,17,34,49
2044,16,38,51
2045,17,38,52
2046,17,29,52
2047,17,24,55
2048,17,27,56
2049,18,24,55
2050,15,23,48
2051,14,15,46
2052,14,17,48
2053,13,15,43
