"years","scenario","pop_size"
2023,"base",12
2024,"base",12
2025,"base",12.5
2026,"base",12.3333333333333
2027,"base",12.6666666666667
2028,"base",12.5
2029,"base",12.6666666666667
2030,"base",12.1666666666667
2031,"base",11.6666666666667
2032,"base",12.6666666666667
2033,"base",12.5
2034,"base",13.8333333333333
2035,"base",12.5
2036,"base",13
2037,"base",13.5
2038,"base",12.8333333333333
2039,"base",12.8333333333333
2040,"base",13.3333333333333
2041,"base",12
2042,"base",12.1666666666667
2043,"base",12.6666666666667
2044,"base",12.1666666666667
2045,"base",12
2046,"base",12.6666666666667
2047,"base",11.5
2048,"base",11.3333333333333
2049,"base",11.5
2050,"base",11.8333333333333
2051,"base",11.6666666666667
2052,"base",11.6666666666667
2053,"base",12.5
2023,"removed",12
2024,"removed",11.5
2025,"removed",11.8333333333333
2026,"removed",11.6666666666667
2027,"removed",12.6666666666667
2028,"removed",12.3333333333333
2029,"removed",11.8333333333333
2030,"removed",11.5
2031,"removed",12.1666666666667
2032,"removed",11.5
2033,"removed",12.8333333333333
2034,"removed",11.8333333333333
2035,"removed",11.3333333333333
2036,"removed",11.3333333333333
2037,"removed",9.83333333333333
2038,"removed",10.1666666666667
2039,"removed",9.83333333333333
2040,"removed",10
2041,"removed",8.66666666666667
2042,"removed",8.5
2043,"removed",8.33333333333333
2044,"removed",8.5
2045,"removed",9
2046,"removed",8.16666666666667
2047,"removed",9.33333333333333
2048,"removed",8.66666666666667
2049,"removed",9.16666666666667
2050,"removed",8.83333333333333
2051,"removed",9
2052,"removed",9
2053,"removed",8.16666666666667
