"years","V2","V3","V4"
2023,32,32,32
2024,30,31,30
2025,30,36,34
2026,31,34,34
2027,29,34,39
2028,28,39,38
2029,30,39,39
2030,37,40,48
2031,28,38,51
2032,27,35,56
2033,29,38,48
2034,29,41,61
2035,26,35,72
2036,31,38,77
2037,32,39,86
2038,32,38,83
2039,28,36,88
2040,29,37,94
2041,26,39,94
2042,23,38,91
2043,23,42,77
2044,27,40,71
2045,27,42,60
2046,28,42,62
2047,29,39,63
2048,31,34,65
2049,32,35,63
2050,28,29,53
2051,26,28,62
2052,27,31,71
2053,27,35,77
