years,mean,lcl,ucl,scenario,,lcl_diff,ucl_diff
2033,124.5,122.5,127.3,B4,,0.02,0.028
2034,124,120.6,127,B4,,0.034,0.03
2035,116.8333333,111.8,121,B4,,0.050333333,0.041666667
2036,115,108.3,120.7,B4,,0.067,0.057
2037,113.1666667,102.7,123.5,B4,,0.104666667,0.103333333
2038,119.8333333,112.2,128.6,B4,,0.076333333,0.087666667
2039,117.1666667,101.2,134.4,B4,,0.159666667,0.172333333
2040,111.5,94.8,132,B4,,0.167,0.205
2041,112.6666667,93.7,138.1,B4,,0.189666667,0.254333333
2042,112.6666667,90.7,142.3,B4,,0.219666667,0.296333333
2043,109.6666667,81,147.4,B4,,0.286666667,0.377333333
2044,109.8333333,78.1,153.3,B4,,0.317333333,0.434666667
2045,95.33333333,70.3,121.1,B4,,0.250333333,0.257666667
2046,95.5,71.4,120.6,B4,,0.241,0.251
2047,94.66666667,63.3,126.1,B4,,0.313666667,0.314333333
2048,100.6666667,69.1,131.1,B4,,0.315666667,0.304333333
2049,103.8333333,61.5,145.5,B4,,0.423333333,0.416666667
2050,107.5,63.1,151.9,B4,,0.444,0.444
2051,125.3333333,71.7,177.7,B4,,0.536333333,0.523666667
2052,123.3333333,79,164.6,B4,,0.443333333,0.412666667
2053,124,77.7,170.1,B4,,0.463,0.461
