"years","initN","mean","lcl","ucl"
2022,100,200,200,200
2023,100,176.813430777716,56.2,217
2024,100,157.362934362934,46,219
2025,100,139.226833976834,40,213
2026,100,124.033370104799,35,206
2027,100,111.293712079426,31,199
2028,100,98.6745725317154,27,191.8
2029,100,87.2658576944291,23,181
2030,100,76.6810535024821,20,170
2031,100,67.9164368450083,15.2,157.8
2032,100,59.7942636514065,13,145
2033,100,52.5886651958081,11,134
2034,100,45.8313568670712,10,118.8
2035,100,39.9098179812466,9,104
2036,100,34.3736900165472,8,89
2037,100,29.4375344732488,7,73
2038,100,25.2595146166575,6,56.8
2039,100,21.665333701048,5,45
2040,100,18.3812741312741,5,37
2041,100,15.4688361831219,4,30
2042,100,12.71138996139,3,25
2043,100,10.6562327633756,3,21
2044,100,8.92995035852179,2,16.4
2045,100,7.49214009928296,2,14
2046,100,6.31053502482074,1,11
2047,100,5.26544401544402,1,9
2048,100,4.19222283507998,0,7
2049,100,3.37686155543298,0,6
2050,100,2.68877551020408,0,5
2051,100,2.08714837286266,0,4
2052,100,1.48455598455598,0,3
2022,150,300,300,300
2023,150,260.708240534521,77.6,324.2
2024,150,233.386971046771,67,321
2025,150,210.613585746102,60,320.2
2026,150,190.722717149221,53,314.2
2027,150,169.285634743875,46,301.6
2028,150,143.850779510022,36.65,283
2029,150,123.801224944321,24,270
2030,150,108.994432071269,15.85,251.6
2031,150,91.4226057906459,14,227.4
2032,150,78.7349665924276,13,201
2033,150,69.1208240534521,11,191
2034,150,58.6820712694877,10.6,154.4
2035,150,48.8168151447661,9.8,120.2
2036,150,41.924276169265,9,96.2
2037,150,35.0400890868597,7.65,75.4
2038,150,29.0785077951002,6.6,60
2039,150,24.0295100222717,6,49.2
2040,150,20.9643652561247,5,44.2
2041,150,17.8446547884187,4,36.6
2042,150,15.0350779510022,4,33
2043,150,12.7182628062361,3,28
2044,150,10.0785077951002,3,22
2045,150,8.30178173719376,2,16
2046,150,6.46714922048998,2,11.2
2047,150,5.49832962138085,1,9
2048,150,4.46937639198218,0.800000000000004,7
2049,150,3.57962138084633,0,6
2050,150,2.77004454342984,0,5
2051,150,2.10189309576837,0,4
2052,150,1.53062360801782,0,3
2022,200,400,400,400
2023,200,358.505780346821,151.4,432.6
2024,200,315.404624277457,97.2,425.6
2025,200,292.228323699422,87,419.8
2026,200,259.592485549133,75.6,415.4
2027,200,223.697976878613,61.55,407
2028,200,190.950867052023,44.65,388
2029,200,160.114161849711,20.5,359
2030,200,141.442196531792,17.1,332.8
2031,200,118.543352601156,16.15,304.2
2032,200,102.085260115607,14,272.6
2033,200,88.4580924855491,13,250.6
2034,200,71.8742774566474,11.2,208.6
2035,200,62.7471098265896,10,206.4
2036,200,53.3424855491329,9,154.6
2037,200,43.4031791907514,8,88.8000000000001
2038,200,32.2182080924855,7,66.6
2039,200,27.3670520231214,6,57.8
2040,200,23.6315028901734,6,46.6
2041,200,18.6893063583815,5,39.4
2042,200,15.1156069364162,4,31
2043,200,12.8323699421965,4,27
2044,200,9.3771676300578,3,13
2045,200,8.2514450867052,3,11
2046,200,6.2514450867052,2,9
2047,200,5.1271676300578,2,8
2048,200,4.20520231213873,1,7
2049,200,3.3728323699422,1,6
2050,200,2.73554913294798,0,5
2051,200,2.1242774566474,0,4
2052,200,1.58959537572254,0,3
2022,250,500,500,500
2023,250,428.672413793103,124.35,535
2024,250,368.951149425287,115,535.8
2025,250,304.867816091954,90.4,516.4
2026,250,261.439655172414,52.4,505.8
2027,250,213.614942528736,28.9,460.4
2028,250,188.83908045977,26.2,438.4
2029,250,156.244252873563,19.2,407.2
2030,250,126.379310344828,18,361.6
2031,250,97.2442528735632,17,268.4
2032,250,86.7298850574713,14.6,232
2033,250,79.367816091954,12.6,233.6
2034,250,67.7327586206897,10.6,170.8
2035,250,55.4166666666667,9,95.2
2036,250,44.7040229885057,7.6,78.4
2037,250,36.7270114942529,6,68.8
2038,250,31.4109195402299,6,64.6
2039,250,26.5172413793103,4.6,48.4
2040,250,23.9655172413793,4.6,41.2
2041,250,20.7442528735632,4,37.4
2042,250,15.7212643678161,3.6,32.9
2043,250,14.0689655172414,2.6,27.8
2044,250,11.5603448275862,2.2,20
2045,250,8.07183908045977,1.6,14
2046,250,6.58333333333333,1,10.8
2047,250,5.56896551724138,0.6,8.40000000000001
2048,250,4.1867816091954,0.6,7
2049,250,3.4683908045977,0,6
2050,250,2.73563218390805,0,5
2051,250,2.07758620689655,0,4
2052,250,1.5316091954023,0,3
