"years","min","med","max"
2023,300,300,300
2024,297.3775,299,318
2025,297.4545,287,317
2026,294.3545,271,322
2027,293.802,267,326
2028,291.4755,260,334
2029,290.506,264,333
2030,290.438,248,337
2031,289.67,225,366
2032,288.4085,220,385
2033,288.185,208,350
2034,287.486,189,361
2035,286.364,189,366
2036,285.577,188,356
2037,284.688,196,339
2038,283.905,207,375
2039,282.512,198,410
2040,281.71,220,440
2041,279.8,205,425
2042,279.568,236,424
2043,278.872,214,431
2044,276.5185,205,423
2045,277.306,212,420
2046,276.136,223,457
2047,274.238,255,463
2048,273.4575,198,463
2049,272.4465,200,473
2050,270.3165,214,495
2051,268.372,230,484
2052,267.117,235,497
2053,265.323,219,521
