"years","V2","V3","V4"
2023,114,114,114
2024,113,122,122
2025,125,138,115
2026,122,141,134
2027,140,132,147
2028,142,118,156
2029,157,124,177
2030,173,132,180
2031,182,152,226
2032,153,178,247
2033,156,184,220
2034,155,183,230
2035,131,200,225
2036,123,200,220
2037,110,200,205
2038,115,209,214
2039,112,195,198
2040,112,213,189
2041,100,217,164
2042,87,228,177
2043,92,227,203
2044,74,236,189
2045,80,232,194
2046,71,235,221
2047,75,230,188
2048,74,221,175
2049,82,224,183
2050,73,214,183
2051,66,242,188
2052,53,206,217
2053,59,187,204
