"years","V2","V3","V4"
2023,74,74,74
2024,73,76,75
2025,67,76,77
2026,70,74,92
2027,71,78,91
2028,61,78,92
2029,62,76,90
2030,56,75,82
2031,51,72,78
2032,47,72,80
2033,46,73,81
2034,45,71,76
2035,47,73,78
2036,41,66,75
2037,40,68,87
2038,31,66,92
2039,36,72,98
2040,39,75,104
2041,41,85,101
2042,44,88,102
2043,45,91,103
2044,46,80,97
2045,47,74,105
2046,44,74,108
2047,45,83,109
2048,44,91,116
2049,41,109,110
2050,41,97,108
2051,43,101,115
2052,47,89,129
2053,42,89,111
