"years","V2","V3","V4"
2023,114,114,114
2024,132,125,133
2025,137,145,127
2026,135,172,145
2027,141,165,158
2028,144,156,177
2029,138,181,189
2030,141,167,192
2031,131,168,207
2032,139,177,194
2033,128,185,195
2034,105,205,201
2035,110,196,241
2036,125,183,226
2037,122,152,214
2038,117,164,225
2039,113,167,247
2040,115,176,241
2041,114,163,246
2042,102,189,280
2043,72,169,261
2044,67,158,261
2045,53,143,282
2046,47,145,250
2047,45,152,262
2048,51,144,257
2049,45,143,233
2050,54,143,246
2051,52,133,236
2052,42,127,213
2053,46,131,189
