"years","initN","mean","lcl","ucl"
2022,100,200,200,200
2023,100,179.367887029289,147,218
2024,100,161.896757322176,48,217
2025,100,145.248953974895,41,215
2026,100,129.394037656904,36.475,209.1
2027,100,114.809414225941,31,201
2028,100,101.695711297071,27,193
2029,100,89.6812761506276,24,183
2030,100,79.5098326359833,21,171
2031,100,70.9205020920502,18,159
2032,100,62.7004184100418,15,148
2033,100,55.0639121338912,13,134.1
2034,100,48.0335774058577,11,121
2035,100,41.8759414225941,10,107
2036,100,37.0388075313808,8,94
2037,100,31.8397489539749,8,76.3249999999999
2038,100,28.0791841004184,7,64
2039,100,24.1385983263598,6,51
2040,100,21.1943514644351,5,44
2041,100,18.1910041841004,5,37
2042,100,15.6109832635983,4,31
2043,100,13.197489539749,3,26
2044,100,11.1823221757322,3,22
2045,100,9.3265690376569,2,17
2046,100,7.84707112970711,2,13
2047,100,6.52238493723849,1,10
2048,100,5.41202928870293,1,8
2049,100,4.38859832635983,0,7
2050,100,3.52719665271967,0,6
2051,100,2.83441422594142,0,5
2052,100,2.19435146443515,0,4
2022,125,250,250,250
2023,125,224.43105065666,183.5,272
2024,125,198.095684803002,58.125,271
2025,125,176.510787992495,50.375,269.5
2026,125,155.848030018762,44.75,260.5
2027,125,136.994606003752,38,251
2028,125,122.011022514071,32.875,243.5
2029,125,108.068011257036,27,229.5
2030,125,93.7715759849906,20,216
2031,125,81.4575515947467,14.75,199.5
2032,125,72.0011726078799,12,186.5
2033,125,63.5098499061914,11,174
2034,125,55.3001876172608,10,151
2035,125,47.952626641651,9,135
2036,125,40.6932457786116,8,108.5
2037,125,34.6503283302064,8,75.5
2038,125,29.7905722326454,7,58.5
2039,125,25.266181988743,6,51.5
2040,125,21.7303001876173,5,43
2041,125,19.1468105065666,5,39.5
2042,125,16.640243902439,4,33
2043,125,13.8140243902439,3,29
2044,125,11.7689962476548,3,25
2045,125,10.0895872420263,2,21.5
2046,125,8.36890243902439,2,15.5
2047,125,7.00891181988743,1,11
2048,125,5.67636022514071,1,9
2049,125,4.64892120075047,0,7
2050,125,3.73663227016886,0,6
2051,125,2.87922138836773,0,5
2052,125,2.20262664165103,0,4
2022,150,300,300,300
2023,150,268.120031796502,81.75,331
2024,150,236.679650238474,68.9,329
2025,150,209.85373608903,61,323
2026,150,183.70906200318,55,313
2027,150,164.047694753577,47,309
2028,150,143.31200317965,39.65,295
2029,150,127.393879173291,28,273.2
2030,150,108.049682034976,16.2,256
2031,150,96.3942766295708,14,240.2
2032,150,84.56240063593,13,227
2033,150,73.4686009538951,12,195.2
2034,150,62.5890302066773,10.95,174
2035,150,54.3497615262321,10,140.4
2036,150,47.933227344992,8.8,117.400000000001
2037,150,39.7066772655008,8,79
2038,150,34.7440381558029,7,67.2
2039,150,30.3147853736089,6,60
2040,150,25.1657392686804,5,50
2041,150,21.1315580286169,5,43
2042,150,17.1939586645469,4,38
2043,150,14.4467408585056,3.8,32
2044,150,11.9077901430843,3,26
2045,150,9.40818759936407,2,19
2046,150,7.71224165341812,2,13
2047,150,6.52265500794913,1,10
2048,150,5.29014308426073,1,8
2049,150,4.48449920508744,0,7
2050,150,3.72098569157393,0,6
2051,150,2.87957074721781,0,5
2052,150,2.14626391096979,0,4
2022,175,350,350,350
2023,175,315.110158311346,217.250000000001,382.2
2024,175,270.766490765172,79.15,382.4
2025,175,238.423482849604,68.9,372.2
2026,175,213.345646437995,62.85,368.2
2027,175,187.073218997361,52,356
2028,175,166.380606860158,41,345.6
2029,175,134.816622691293,22,319.2
2030,175,117.538258575198,17.8,284.4
2031,175,100.903693931398,15,257.2
2032,175,87.3753298153034,14,226
2033,175,73.0362796833773,12.25,198
2034,175,62.1972295514512,11,169.4
2035,175,52.6701846965699,10,112.4
2036,175,44.0864116094987,9,89.2
2037,175,38.9234828496042,8,80.4
2038,175,30.5039577836412,7,62.2
2039,175,26.2651715039578,7,54.2
2040,175,22.7374670184697,6,49
2041,175,18.6088390501319,5,41.2
2042,175,15.7335092348285,5,36
2043,175,13.2757255936675,4,30
2044,175,11.1477572559367,4,24.2
2045,175,9.1655672823219,3,17.2
2046,175,7.594327176781,2,12
2047,175,6.07651715039578,2,9.8
2048,175,5.07058047493404,1,8
2049,175,4.30738786279683,1,7
2050,175,3.41952506596306,0,6
2051,175,2.76121372031662,0,5
2052,175,2.12401055408971,0,4
2022,200,400,400,400
2023,200,350.679069767442,118.25,430.2
2024,200,307.054651162791,90.1,424
2025,200,274.854651162791,78,417.6
2026,200,246.377906976744,65.4,413.2
2027,200,206.655813953488,54,399.2
2028,200,179.683720930233,34.6,371.8
2029,200,155.63023255814,21,337
2030,200,131.081395348837,18.7,321.2
2031,200,114.95,17,288.4
2032,200,94.7348837209302,15.7,259.2
2033,200,79.3953488372093,13,211
2034,200,61.0709302325581,12,164.6
2035,200,51.9081395348837,11,124.6
2036,200,44.6697674418605,9,89
2037,200,38.4732558139535,9,74.2
2038,200,33.2976744186047,8,66.2
2039,200,28.0453488372093,7,54.6
2040,200,26.2151162790698,6,55.6
2041,200,21.906976744186,5,46
2042,200,17.2639534883721,4,39
2043,200,14.5011627906977,4,33.2
2044,200,11.7941860465116,4,28.6
2045,200,9.63953488372093,3,21.6
2046,200,7.9453488372093,2,13
2047,200,6.31744186046512,2,10
2048,200,5.17790697674419,1,8
2049,200,4.16395348837209,1,7
2050,200,3.31046511627907,0,6
2051,200,2.75348837209302,0,5
2052,200,2.20116279069767,0,4
