"years","V2","V3","V4"
2023,24,24,24
2024,21,25,23
2025,24,23,24
2026,23,22,25
2027,23,23,30
2028,22,24,28
2029,20,22,29
2030,15,22,32
2031,15,24,34
2032,14,21,34
2033,16,23,38
2034,16,19,36
2035,14,18,36
2036,13,21,34
2037,12,16,31
2038,13,18,30
2039,15,16,28
2040,14,17,29
2041,13,11,28
2042,13,10,28
2043,11,11,28
2044,10,12,29
2045,10,10,34
2046,8,10,31
2047,8,12,36
2048,9,12,31
2049,10,11,34
2050,9,11,33
2051,7,12,35
2052,7,12,35
2053,7,12,30
