"years","initN","mean","lcl","ucl"
2022,100,200,200,200
2023,100,182.622636103152,157,217
2024,100,166.615673352436,51.25,218
2025,100,151.994011461318,44,215
2026,100,137.603381088825,39.5,209
2027,100,124.768424068768,35.75,203
2028,100,113.324785100287,32,195
2029,100,102.436475644699,29,186
2030,100,92.9746991404011,26,177.6
2031,100,84.2001432664756,24,167
2032,100,75.877335243553,22,157
2033,100,68.1380229226361,20,146
2034,100,61.1561604584527,18,135
2035,100,54.6009169054441,16,125
2036,100,48.6442693409742,15,113
2037,100,43.41,13,101
2038,100,38.6951002865329,12,92
2039,100,34.4438968481375,11,81
2040,100,30.5316905444126,10,71.6000000000004
2041,100,27.2885386819484,9,64
2042,100,24.1089971346705,8,55
2043,100,21.4079369627507,7,47
2044,100,18.9867335243553,6,40
2045,100,16.6275071633238,6,32
2046,100,14.5241547277937,5,24
2047,100,12.7217191977077,4,19
2048,100,10.9894555873926,4,16
2049,100,9.51744985673352,3,14
2050,100,8.19882521489971,3,12
2051,100,6.97879656160458,2,10
2052,100,5.89951289398281,1,9
2022,110,220,220,220
2023,110,200.938220230474,171,239
2024,110,182.40869078105,55,240
2025,110,165.388364276568,48,236
2026,110,150.645126440461,42,230
2027,110,136.237916133163,38,223
2028,110,123.553337067862,35,214
2029,110,111.797815300896,31,205
2030,110,100.848911651729,28,196
2031,110,90.2827704865557,25,184
2032,110,81.2045854673495,23,172.3
2033,110,73.1631322023047,20,160
2034,110,65.5970710627401,18,147
2035,110,59.0440540973111,16.925,136
2036,110,52.0292893725992,15,122
2037,110,46.1393245838668,13,109.3
2038,110,41.2342349551857,12,98
2039,110,36.8615957106274,11,88
2040,110,32.6781370038412,10,77
2041,110,28.950264084507,9,66
2042,110,25.7256722151088,8,57
2043,110,22.5270086427657,7,48
2044,110,19.6944222151088,6.67500000000001,40
2045,110,17.2385963508323,6,33
2046,110,14.9163332266325,5,25
2047,110,12.9569862355954,4,20
2048,110,11.2744878361076,4,16
2049,110,9.74931978233035,3,14
2050,110,8.2499599871959,3,12
2051,110,6.99139724711908,2,10
2052,110,5.9152528809219,2,9
2022,120,240,240,240
2023,120,219.386932192232,187,260
2024,120,198.923085363178,61,261
2025,120,181.655365371955,53,258
2026,120,163.899769585253,47,251
2027,120,148.515635286373,42,245
2028,120,133.414252797893,37.15,234
2029,120,120.546028088655,33.75,227
2030,120,108.785330261137,30,215
2031,120,98.4544656572306,27,202
2032,120,88.5266074171604,24,191
2033,120,79.9798112793504,21,178
2034,120,71.225696730305,18,162
2035,120,63.4827737546632,16,145
2036,120,56.0070770243581,14,133
2037,120,49.9597322800088,13,119
2038,120,43.8347048496818,12,104
2039,120,38.3898946675444,10,89.4000000000005
2040,120,34.0560127276717,9,77
2041,120,30.0135505815229,9,67
2042,120,26.2845073513276,8,57
2043,120,23.1482334869432,7,48.5500000000004
2044,120,20.1560785604564,6,41
2045,120,17.7880184331797,6,36
2046,120,15.4823897300856,5,29
2047,120,13.4237985516787,4,22
2048,120,11.5549703752469,4,17
2049,120,9.84770682466535,3,14
2050,120,8.3078231292517,3,12
2051,120,7.01228878648234,2,10
2052,120,5.89724599517226,1,9
