"years","V2","V3","V4"
2023,74,74,74
2024,76,74,77
2025,81,78,84
2026,83,81,78
2027,86,75,77
2028,84,74,85
2029,75,82,86
2030,60,84,102
2031,63,92,106
2032,58,99,110
2033,60,96,121
2034,55,89,119
2035,52,89,130
2036,49,78,120
2037,53,79,107
2038,46,67,104
2039,41,67,121
2040,41,66,138
2041,39,60,131
2042,38,59,136
2043,42,56,136
2044,43,65,141
2045,42,68,132
2046,36,76,115
2047,35,64,114
2048,37,65,104
2049,27,66,113
2050,22,66,130
2051,24,65,122
2052,24,69,128
2053,26,62,133
