"10","15","20","25","30","35","years"
"1",57,57,57,57,57,57,2023
"2",56.6666666666667,57.8333333333333,55.1666666666667,58.8333333333333,55.5,57.3333333333333,2024
"3",54.6666666666667,57.8333333333333,57.6666666666667,61.8333333333333,57.5,62.1666666666667,2025
"4",53.5,56.3333333333333,57.3333333333333,61.1666666666667,63.8333333333333,67.1666666666667,2026
"5",53.1666666666667,54.5,60.1666666666667,62,66.3333333333333,68,2027
"6",52.1666666666667,51.1666666666667,58.6666666666667,60.8333333333333,63.1666666666667,64.6666666666667,2028
"7",52.1666666666667,52,59.6666666666667,59,61.6666666666667,64.5,2029
"8",52.3333333333333,53.3333333333333,62.1666666666667,65.8333333333333,60.6666666666667,66.1666666666667,2030
"9",54.3333333333333,56,61,70.5,66.66667,70.83333,2031
"10",50.1666666666667,60.6666666666667,67,73.83333,75.66667,79.66667,2032
"11",47.5,59.1666666666667,62.8333333333333,73.16667,73.16667,80.83333,2033
"12",47.6666666666667,61.5,63.8333333333333,64.8333333333333,63.16667,68,2034
"13",47.3333333333333,55,61,61,52.3333333333333,65.6666666666667,2035
"14",41.8333333333333,53,64.5,62,54.5,66.6666666666667,2036
"15",41.5,47.5,57.8333333333333,55.1666666666667,54,73,2037
"16",39.1666666666667,43.6666666666667,58.5,57.6666666666667,47.3333333333333,73,2038
"17",39.3333333333333,44.5,58.8333333333333,52.6666666666667,45.8333333333333,68.8333333333333,2039
"18",42.1666666666667,44,57.5,53.1666666666667,47.1666666666667,69.5,2040
"19",42.3333333333333,41.8333333333333,60,53,47.8333333333333,74.1666666666667,2041
"20",42.6666666666667,39.5,65,53.5,49.6666666666667,72.8333333333333,2042
"21",43.5,39.5,63.8333333333333,50,50.8333333333333,76.5,2043
"22",45.1666666666667,38.5,61.5,48,53,76.8333333333333,2044
"23",45.5,38.6666666666667,55.1666666666667,48.8333333333333,52.5,74.6666666666667,2045
"24",47.1666666666667,42.1666666666667,56.5,45.8333333333333,52,78,2046
"25",46.8333333333333,43.3333333333333,55.5,46.1666666666667,45.1666666666667,78.6666666666667,2047
"26",45.1666666666667,48.3333333333333,55.6666666666667,46.3333333333333,47.5,78.8333333333333,2048
"27",46.5,46.3333333333333,55.6666666666667,47.3333333333333,49.3333333333333,75.3333333333333,2049
"28",45.5,45.8333333333333,55.1666666666667,44.6666666666667,45.5,70.1666666666667,2050
"29",45.3333333333333,44.3333333333333,55.3333333333333,48.8333333333333,45.5,70,2051
"30",50.1666666666667,41.8333333333333,58.3333333333333,51,47.8333333333333,64.8333333333333,2052
"31",51,40.5,54.8333333333333,51.6666666666667,46,66.5,2053
