"years","V2","V3","V4"
2023,32,32,32
2024,29,31,37
2025,30,30,39
2026,35,32,39
2027,40,31,41
2028,41,33,48
2029,37,36,56
2030,37,34,61
2031,37,35,63
2032,43,37,64
2033,39,34,67
2034,42,30,68
2035,43,29,71
2036,39,32,74
2037,35,36,76
2038,34,42,78
2039,30,45,71
2040,30,46,77
2041,30,55,71
2042,26,46,81
2043,27,46,94
2044,31,43,72
2045,30,39,76
2046,26,41,76
2047,26,43,64
2048,24,51,67
2049,21,56,54
2050,20,54,60
2051,21,43,64
2052,20,44,61
2053,20,42,48
