"years","V2","V3","V4"
2023,114,114,114
2024,112,120,116
2025,108,122,119
2026,122,134,133
2027,129,137,131
2028,150,143,134
2029,136,127,137
2030,139,137,152
2031,130,131,159
2032,129,139,177
2033,114,147,177
2034,121,157,189
2035,111,178,168
2036,110,152,169
2037,109,147,160
2038,115,146,153
2039,108,118,134
2040,101,129,134
2041,98,112,156
2042,100,107,150
2043,104,109,146
2044,134,122,162
2045,125,136,171
2046,119,157,171
2047,99,162,157
2048,100,174,147
2049,93,161,165
2050,91,160,199
2051,78,182,210
2052,78,183,202
2053,78,185,195
