"initial.pop","S.ad","S.jw","S.jhs","S.imm","S.sub","Prod.Rates","philopatry","site.fidelity","number.HS.birds","years.HS"
57,0.78,0.2,0.2,0.4,0.78,0.14,0.3,0.7,140,5
57,0.84,0.3,0.3,0.55,0.84,0.32,0.3,0.7,140,5
57,0.9,0.4,0.4,0.7,0.9,0.5,0.3,0.7,140,5
