"years","V2","V3","V4"
2023,114,114,114
2024,117,109,131
2025,116,125,149
2026,118,125,157
2027,123,131,163
2028,130,133,160
2029,130,156,159
2030,143,150,147
2031,141,161,149
2032,131,168,153
2033,134,185,157
2034,142,178,159
2035,142,160,141
2036,138,153,162
2037,143,149,178
2038,126,154,201
2039,136,160,198
2040,159,159,218
2041,175,157,234
2042,173,157,201
2043,189,176,192
2044,177,175,179
2045,172,168,181
2046,143,155,177
2047,139,165,187
2048,134,161,181
2049,112,174,206
2050,104,174,229
2051,89,167,239
2052,89,169,237
2053,88,155,224
