"years","V2","V3","V4"
2023,74,74,74
2024,78,77,75
2025,77,74,80
2026,74,76,84
2027,72,64,88
2028,72,64,87
2029,62,66,93
2030,65,62,90
2031,54,65,88
2032,49,67,86
2033,49,76,86
2034,44,63,78
2035,35,70,83
2036,36,83,76
2037,38,81,87
2038,39,90,82
2039,33,79,74
2040,26,77,76
2041,24,82,81
2042,22,82,75
2043,20,75,78
2044,19,64,80
2045,17,60,83
2046,16,57,93
2047,14,51,99
2048,14,52,100
2049,14,58,102
2050,16,48,118
2051,19,47,106
2052,18,45,106
2053,14,43,121
