"years","V2","V3","V4"
2023,30,30,30
2024,28,26,30
2025,27,26,30
2026,31,26,30
2027,31,25,30
2028,35,26,29
2029,30,24,29
2030,32,28,31
2031,30,26,34
2032,34,26,39
2033,29,27,40
2034,30,27,46
2035,30,28,49
2036,28,31,53
2037,24,27,55
2038,25,29,57
2039,26,30,63
2040,19,26,63
2041,16,29,67
2042,17,31,73
2043,16,26,68
2044,17,26,67
2045,16,25,61
2046,16,24,63
2047,15,22,60
2048,14,21,65
2049,14,20,65
2050,13,21,60
2051,11,21,62
2052,10,23,57
2053,8,24,58
