"years","V2","V3","V4"
2023,114,114,114
2024,112,115,114
2025,112,118,116
2026,113,123,113
2027,103,117,115
2028,111,110,130
2029,127,115,137
2030,123,111,131
2031,118,106,133
2032,107,103,132
2033,110,104,136
2034,109,113,141
2035,106,101,148
2036,102,108,162
2037,107,126,170
2038,107,115,161
2039,99,111,181
2040,96,112,189
2041,88,119,173
2042,86,107,156
2043,80,110,142
2044,66,111,148
2045,67,119,128
2046,59,116,140
2047,52,110,132
2048,51,100,128
2049,54,100,138
2050,53,108,142
2051,56,116,142
2052,51,103,134
2053,52,94,145
