"years","V2","V3","V4"
2023,40,40,40
2024,41,39,38
2025,41,39,42
2026,45,36,41
2027,41,32,35
2028,36,31,39
2029,30,33,38
2030,27,33,37
2031,26,27,41
2032,20,25,41
2033,19,27,41
2034,17,34,43
2035,17,38,39
2036,18,38,42
2037,19,41,45
2038,23,47,40
2039,22,50,44
2040,21,55,47
2041,20,58,44
2042,16,50,45
2043,17,43,44
2044,16,45,48
2045,16,37,47
2046,13,32,46
2047,13,31,44
2048,15,34,48
2049,14,34,57
2050,13,34,59
2051,13,33,57
2052,13,33,66
2053,14,33,60
