"years","initN","mean","lcl","ucl"
2022,100,200,200,200
2023,100,192.149523457784,167,219
2024,100,184.440178388354,150,223
2025,100,176.96713180382,136,224
2026,100,169.7023136631,123,223
2027,100,162.670043306299,111,221
2028,100,155.766762353906,99,217
2029,100,149.103563320331,87,214
2030,100,142.647599625486,74,210
2031,100,136.387940319819,64,205
2032,100,130.277504317043,57,200
2033,100,124.240369104056,52.5,194
2034,100,118.432688103243,49,188
2035,100,112.820256008656,46,181
2036,100,107.413412724097,43,174
2037,100,102.163799343365,41,167
2038,100,97.0650891447685,39,160
2039,100,92.1601591932627,37,153
2040,100,87.3800152424338,35,145
2041,100,82.7471120899427,34,136
2042,100,78.3037561358825,32,128
2043,100,73.9368093658209,31,119
2044,100,69.7306640957926,29,111
2045,100,65.7119105908975,28,102
2046,100,61.8129256826362,27,94
2047,100,58.0468501028926,26,86
2048,100,54.3899283827951,24,79
2049,100,50.8951261268161,23,73
2050,100,47.4932150171323,22,67
2051,100,44.2501235205328,21,61
2052,100,41.1603883238511,20,57
2022,110,220,220,220
2023,110,210.864609339926,183,241
2024,110,202.04177984413,164,245
2025,110,193.405632604153,147,246
2026,110,185.084586763647,131,245
2027,110,177.013699990634,115,243
2028,110,169.137638598656,98,240
2029,110,161.471357354409,76,236
2030,110,154.08021442621,64,231
2031,110,146.910679969123,58,226
2032,110,140.05624368171,54,220
2033,110,133.354714049939,50,214
2034,110,126.849223395356,47.25,207
2035,110,120.633727314715,45,200
2036,110,114.500549065458,43,193
2037,110,108.587969975809,41,185
2038,110,102.932708798289,39,177
2039,110,97.3987474847957,37,169
2040,110,92.0223477716017,35,159
2041,110,86.8394064279416,34,150
2042,110,81.8648467299922,32,140
2043,110,77.1109346386019,31,130
2044,110,72.4637923628225,29,119
2045,110,67.9478403963607,28,108
2046,110,63.5866102313503,27,98
2047,110,59.4806220265683,26,89
2048,110,55.5452704470362,25,81
2049,110,51.6943538307005,23,74
2050,110,48.0055253748987,22,68
2051,110,44.4207577426304,21,62
2052,110,41.0248920440415,20,57
2022,120,240,240,240
2023,120,229.86624195963,200,263
2024,120,219.946774186915,178,268
2025,120,210.315705866386,159,269
2026,120,200.876197830128,139,268
2027,120,191.768691290901,117,266
2028,120,183.084425946337,81,263
2029,120,174.544068838732,67.75,258
2030,120,166.310294553112,61,254
2031,120,158.308109669831,57,248
2032,120,150.510034012207,53,242
2033,120,142.980503643871,50,236
2034,120,135.726327175218,48,229
2035,120,128.638328302104,45,221
2036,120,121.772937675819,43,213
2037,120,115.212533107408,41,205
2038,120,108.823539572606,39,196
2039,120,102.801201325941,37,187
2040,120,96.8587331584056,36,177
2041,120,91.1531844802343,34,167
2042,120,85.6122279434747,32,155
2043,120,80.2936370029776,31,144
2044,120,75.2260084393045,30,130
2045,120,70.3209639807854,28,117
2046,120,65.6241157648839,27,104
2047,120,61.1269710217645,26,93
2048,120,56.7366141197953,25,83
2049,120,52.5311147942817,23,75
2050,120,48.486252200306,22,68
2051,120,44.6499498247981,21,62
2052,120,40.9082091976903,20,57
