"years","initN","mean","lcl","ucl"
2022,200,400,400,400
2023,200,364.640776699029,314,434
2024,200,332.570084951456,99,437
2025,200,299.782463592233,87,436
2026,200,267.578276699029,77,427
2027,200,239.520631067961,66,411.4
2028,200,216.989381067961,58.3,399
2029,200,195.058555825243,51,379
2030,200,176.418082524272,39.6,369.7
2031,200,154.914745145631,28.3,339.7
2032,200,139.787317961165,24,326.7
2033,200,121.542779126214,19.825,302.7
2034,200,106.495449029126,18,271.7
2035,200,93.7897451456311,16,244.1
2036,200,81.3916868932039,14,215
2037,200,69.3768203883495,13,179
2038,200,60.280036407767,12,146.4
2039,200,53.4550970873786,11,124.8
2040,200,46.0831310679612,10,98
2041,200,39.2785194174757,9,79.7
2042,200,34.5552184466019,9,69.7
2043,200,29.3006674757282,8,61.7
2044,200,24.7430218446602,7,53
2045,200,21.1787014563107,6,46
2046,200,17.7117718446602,6,40
2047,200,14.8853155339806,5,31.7
2048,200,12.5051577669903,5,18.175
2049,200,10.2997572815534,4,14
2050,200,8.45084951456311,3,11
2051,200,7.04672330097087,3,10
2052,200,5.94872572815534,2,9
2022,225,450,450,450
2023,225,407.017152658662,326,488.6
2024,225,364.938679245283,107.8,496
2025,225,331.592195540309,98.1,479.8
2026,225,294.469554030875,84.25,477.4
2027,225,263.525728987993,71.15,463.8
2028,225,231.315608919382,62.8,439.8
2029,225,203.723413379074,50,425
2030,225,183.561749571184,31.2,403.8
2031,225,158.97641509434,25.2,372.6
2032,225,136.976843910806,20,341.8
2033,225,116.83704974271,18,287.8
2034,225,102.729416809605,16,267.8
2035,225,89.6230703259005,16,241.8
2036,225,78.6856775300172,14,200.6
2037,225,67.8619210977701,13,164
2038,225,60.3584905660377,12,140
2039,225,53.7058319039451,11,121.8
2040,225,46.7795883361921,10,98.4000000000002
2041,225,40,9,80.8000000000001
2042,225,35.3825042881647,8,73
2043,225,29.2594339622642,7.15,61.8000000000001
2044,225,23.5184391080617,7,51
2045,225,20.0317324185249,6,44
2046,225,16.8567753001715,5,38
2047,225,14.2851629502573,5,30.6000000000001
2048,225,12.2186963979417,4,20.8000000000001
2049,225,10.2873070325901,4,15
2050,225,9.07975986277873,3,13
2051,225,7.54373927958834,3,11
2052,225,5.98713550600343,2,9
2022,250,500,500,500
2023,250,453.675373134328,394.2,537
2024,250,404.042910447761,119.05,543
2025,250,366.794154228856,106.1,536.9
2026,250,329.907960199005,94,531.9
2027,250,295.356343283582,80,523.9
2028,250,257.860074626866,68.1,506.8
2029,250,229.939676616915,51.1,481.9
2030,250,203.606343283582,31,447
2031,250,181.476368159204,25.275,424.8
2032,250,153.718905472637,22,379.7
2033,250,136.519278606965,20.075,360.500000000001
2034,250,117.975746268657,18.325,321
2035,250,102.172885572139,17,273.6
2036,250,88.8526119402985,15,235.6
2037,250,78.8383084577114,13,196.5
2038,250,68.7095771144279,12,155.8
2039,250,59.7674129353234,11,120.9
2040,250,50.2717661691542,11,105.7
2041,250,41.2363184079602,10,88
2042,250,35.5422885572139,8,75
2043,250,30.9427860696517,8,68.8000000000001
2044,250,26.8818407960199,6.05,59.675
2045,250,22.6312189054726,6,51
2046,250,18.5615671641791,6,43.9
2047,250,15.4303482587065,5,36.9
2048,250,12.4458955223881,4,25.9
2049,250,10.5391791044776,3,15
2050,250,8.85945273631841,3,12
2051,250,7.23320895522388,2,10
2052,250,5.92350746268657,2,9
2022,275,550,550,550
2023,275,497.878571428571,418.3,595.6
2024,275,448.84375,135.9,593.2
2025,275,413.116964285714,125.35,583
2026,275,366.852678571429,106.9,563.3
2027,275,326.880357142857,91.975,536
2028,275,292.195535714286,79.8,510
2029,275,260.808928571429,53.9,505.6
2030,275,223.966964285714,39.9,477.5
2031,275,199.476785714286,29.8,455.1
2032,275,176.129464285714,24,427.4
2033,275,153.577678571429,22,380.1
2034,275,129.844642857143,19,324.5
2035,275,115.120535714286,16.9,313.1
2036,275,100.554464285714,15.9,278.4
2037,275,82.5964285714286,14,227.6
2038,275,73.0276785714286,13,224.3
2039,275,60.1116071428571,11,132.5
2040,275,52.2125,10.9,105.525
2041,275,43.79375,9,89
2042,275,36.4303571428571,8.975,76.2
2043,275,28.6044642857143,7,63.2
2044,275,24.4428571428571,7,56
2045,275,22.4276785714286,6,52.1
2046,275,18.45,5,47
2047,275,15.8455357142857,4,43.2
2048,275,13.04375,4,27.8999999999999
2049,275,10.7241071428571,3,15
2050,275,8.81785714285714,3,12
2051,275,6.78571428571429,2,10
2052,275,5.88571428571429,1,9
2022,300,600,600,600
2023,300,551.013771186441,465.5,659
2024,300,478.613347457627,137.5,661
2025,300,422.512711864407,125,637.5
2026,300,386.141949152542,113.5,634
2027,300,340.219279661017,102.875,616
2028,300,296.203389830508,86,615
2029,300,263.746822033898,68.5,572
2030,300,223.890889830508,36.875,515.5
2031,300,205.16843220339,31.125,501
2032,300,169.054025423729,26.875,444.5
2033,300,143.810381355932,23.875,367.5
2034,300,122.60063559322,20.25,345
2035,300,105.126059322034,19,268
2036,300,88.9491525423729,17,228
2037,300,77.3368644067797,16,196.5
2038,300,65.0773305084746,14,129.5
2039,300,55.3199152542373,13,101.5
2040,300,47.8919491525424,11,91.5
2041,300,43.9735169491525,10.25,83
2042,300,37.2457627118644,10,67
2043,300,30.2256355932203,9,58.5
2044,300,25.948093220339,8,53
2045,300,22.4798728813559,7,47.5
2046,300,18.3347457627119,6,38.5
2047,300,15.0932203389831,5,25.5
2048,300,13.583686440678,4,22
2049,300,11.8442796610169,3,15
2050,300,9.00847457627119,3,13
2051,300,7.09110169491525,2.75,10
2052,300,5.89406779661017,2,9
